,pipeID,length,total_loss,skin_friction,fittings_friction,heat_loss,X,Y,tot,pskin_friction,pfittings_friction,pheat_loss
32,STL502X70A1,12,775.0,43.278961114272164,415.69343618051965,1189.9917650327645,601557.8487,1442055.6648,1648.9641623275563,3.0,25.0,72.0
33,STL502X70A2,12,624.0,43.278961114272164,264.11461414784395,1189.9917650327645,601557.8487,1442055.6648,1497.3853402948807,3.0,18.0,79.0
34,STL503X70A1,12,1015.0,56.8915986139099,549.3890979974811,1039.280508974373,601557.8487,1442055.6648,1645.5612055857641,3.0,33.0,63.0
35,STL503X70A2,12,815.0,56.8915986139099,349.0593716558582,1039.280508974373,601557.8487,1442055.6648,1445.2314792441412,4.0,24.0,72.0
36,STL504X70A1,18,436.0,43.17096423021911,174.06565883762048,2183.8871294027795,601557.8487,1442055.6648,2401.123752470619,2.0,7.0,91.0
37,STL504X70A2,18,536.0,43.17096423021911,273.9642108661679,2183.8871294027795,601557.8487,1442055.6648,2501.0223044991662,2.0,11.0,87.0
38,STL505X70A1,18,590.0,59.2246195690773,240.52629408718175,1862.5146646113728,601557.8487,1442055.6648,2162.265578267632,3.0,11.0,86.0
39,STL505X70A2,18,729.0,59.2246195690773,378.56747156330346,1862.5146646113728,601557.8487,1442055.6648,2300.3067557437535,3.0,16.0,81.0
40,STL506X70B1,14,1950.0,142.97253755024002,979.8286769637373,831.1078468440779,601557.8487,1442055.6648,1953.9090613580552,7.0,50.0,43.0
41,STL506X70B2,14,2168.0,142.97253755024002,1198.3039900705166,831.1078468440779,601557.8487,1442055.6648,2172.3843744648348,7.0,55.0,38.0
42,STL508X70C1,9,598.0,26.615179803262226,337.9475484914171,1059.5307730701588,601557.8487,1442055.6648,1424.0935013648382,2.0,24.0,74.0
43,STL508X70C2,9,598.0,26.615179803262226,337.9475484914171,1059.5307730701588,601557.8487,1442055.6648,1424.0935013648382,2.0,24.0,74.0
44,STL70A1,55,388.0,103.45778476280297,274.29699235740725,4327.413926259239,601557.8487,1442055.6648,4705.168703379449,2.0,6.0,92.0
45,STL70A2,55,933.0,249.62661278096954,673.3991144677025,2770.341021944187,601557.8487,1442055.6648,3693.366749192859,7.0,18.0,75.0
46,STL70B1,257,2456.0,1822.8572999905216,456.94728635192394,10417.250629066288,601557.8487,1442055.6648,12697.055215408733,14.0,4.0,82.0
47,STL70B2,257,1643.0,1174.0544040829623,292.3750806288798,12944.058838779047,601557.8487,1442055.6648,14410.488323490888,8.0,2.0,90.0
48,STL70IF1,1811,24045.0,13657.49881901072,10584.133565561302,71779.9028552293,601557.8487,1442055.6648,96021.53523980132,14.0,11.0,75.0
49,STL70IF2,1811,24115.0,13697.154733800067,10614.2784307166,71869.2022331029,601557.8487,1442055.6648,96180.63539761957,14.0,11.0,75.0
